applicant_name_patstat,company_name_stock,ticker_stock,match_score,match_type,sector_match,parent_match,confidence_mean,confidence_lower,confidence_upper,total_patents
Vertex Pharmaceuticals Incorporated,Vertex Pharmaceuticals Incorporated,VRTX,1.0,exact,False,True,0.9932782051282052,0.9746155106582667,1.0,41
Stora Enso Oyj,Stora Enso Oyj,SEOAY,1.0,exact,False,True,1.0,1.0,1.0,40
E I du Pont de Nemours and Company,E. I. du Pont de Nemours and Company,DD,1.0,exact,False,True,1.0,1.0,1.0,40
ARKEMA INC.,ARKEMA,AKEN.MX,1.0,exact,False,True,1.0,1.0,1.0,39
"Smith & Nephew, Inc.",Smith & Nephew plc,SN.L,1.0,exact,False,True,1.0,1.0,1.0,39
HUNTSMAN INTERNATIONAL LLC,Huntsman Corporation,HUN,1.0,exact,False,True,1.0,1.0,1.0,39
Lafarge,LafargeHolcim Ltd,HCMLY,0.9007692307692309,fuzzy,False,True,0.9007692307692309,0.9007692307692309,0.9007692307692309,39
Henkel AG & Co. KGaA,Henkel AG & Co. KGaA,HENOY,1.0,exact,False,True,1.0,1.0,1.0,37
Archer Daniels Midland Company,Archer-Daniels-Midland Company,ADM,1.0,exact,False,True,1.0,1.0,1.0,37
Koninklijke Philips N.V.,Koninklijke Philips N.V.,PHG,1.0,exact,False,True,1.0,1.0,1.0,36
Bristol-Myers Squibb Company,Bristol-Myers Squibb Company,BMY,1.0,exact,False,True,0.9988374704491726,0.9962076458987388,1.0,36
TOTAL SA,Totally plc,TLY.L,1.0,exact,False,True,1.0,1.0,1.0,36
"RICOH COMPANY, LIMITED","Ricoh Company, Ltd.",RICO.L,1.0,exact,False,True,1.0,1.0,1.0,36
Nippon Steel Corporation,Nico Steel Holdings Limited,5GF.SI,0.9399393939393941,fuzzy,True,False,0.9399393939393941,0.9399393939393941,0.9399393939393941,36
EVONIK INDUSTRIES AG,Evonik Industries AG,EVK.DE,1.0,exact,False,True,1.0,1.0,1.0,36
BAE Systems PLC,BAE Systems plc,BAESY,1.0,exact,False,True,1.0,1.0,1.0,36
Fisher & Paykel Healthcare Limited,Fisher & Paykel Healthcare Corporation Limited,FPH.NZ,1.0,exact,True,True,1.0,1.0,1.0,35
"ALMIRALL, S.A.","Almirall, S.A.",ALM.MC,1.0,exact,False,True,1.0,1.0,1.0,35
